"","date","Price","meanf","naive","snaive","rwf","ses","holt","splinef","thetaf","ets","tbats","arima","nnetar"
"108",2018-04-19,45.78022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2018-04-20,45.68256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2018-04-21,45.68256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2018-04-22,45.68256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2018-04-23,45.584911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2018-04-24,44.618134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2018-04-25,44.188461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2018-04-26,41.376022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2018-04-27,42.381859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2018-04-28,42.381859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2018-04-29,42.381859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2018-04-30,41.922886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2018-05-01,42.342793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2018-05-02,41.249073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2018-05-03,41.122124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2018-05-04,41.854527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2018-05-05,41.854527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2018-05-06,41.854527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2018-05-07,41.541302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2018-05-08,42.089439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2018-05-09,40.621204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2018-05-10,41.149773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2018-05-11,41.697918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2018-05-12,41.697918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2018-05-13,41.697918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2018-05-14,41.560879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2018-05-15,42.275425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2018-05-16,43.126999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2018-05-17,42.7061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2018-05-18,42.461399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2018-05-19,42.461399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2018-05-20,42.461399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2018-05-21,43.342335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2018-05-22,41.971981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
